time,total_exp,weapon,exp_gained,cumulative_exp_gained,total_successful_hits,total_hits
0,125253,Event RPG,0,0,0,0
10,125521,Event RPG,268,268,67,333
20,125785,Event RPG,264,532,133,666
30,126045,Event RPG,260,792,198,1000
40,126285,Event RPG,240,1032,258,1333
50,126497,Event RPG,212,1244,311,1666
60,126733,Event RPG,236,1480,370,2000
70,126945,Event RPG,212,1692,423,2333
80,127237,Event RPG,292,1984,496,2666
90,127517,Event RPG,280,2264,566,3000
100,127785,Event RPG,268,2532,633,3333
110,128017,Event RPG,232,2764,691,3666
120,128301,Event RPG,284,3048,762,4000
130,128561,Event RPG,260,3308,827,4333
140,128813,Event RPG,252,3560,890,4666
150,129045,Event RPG,232,3792,948,5000
160,129297,Event RPG,252,4044,1011,5333
170,129561,Event RPG,264,4308,1077,5666
180,129817,Event RPG,256,4564,1141,6000
0,129817,Iron Scimitar,0,0,0,0
10,130085,Iron Scimitar,268,268,67,250
20,130297,Iron Scimitar,212,480,120,500
30,130497,Iron Scimitar,200,680,170,750
40,130693,Iron Scimitar,196,876,219,1000
50,130869,Iron Scimitar,176,1052,263,1250
60,131093,Iron Scimitar,224,1276,319,1500
70,131313,Iron Scimitar,220,1496,374,1750
80,131505,Iron Scimitar,192,1688,422,2000
90,131745,Iron Scimitar,240,1928,482,2250
100,131949,Iron Scimitar,204,2132,533,2500
110,132153,Iron Scimitar,204,2336,584,2750
120,132353,Iron Scimitar,200,2536,634,3000
130,132597,Iron Scimitar,244,2780,695,3250
140,132821,Iron Scimitar,224,3004,751,3500
150,133045,Iron Scimitar,224,3228,807,3750
160,133237,Iron Scimitar,192,3420,855,4000
170,133461,Iron Scimitar,224,3644,911,4250
180,133685,Iron Scimitar,224,3868,967,4500
